etab_id,nom,localite,region,prefecture,commune,canton,categorie,categorie_source,statut_source,statut_groupe,jours_ouverture,nb_jours_ouverture,ouvert_samedi,ouvert_dimanche,jours_renseignes,lon,lat,unite_commune,prefecture_geom,coherence_geo
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-41c0,FUCEC Togo Barkoissi,BORKOISSI,Savanes,Oti,Oti 2,Barkoissi,Micro-finance,Micro-Finance,Autre,Statut non renseigné ou ambigu,Lun–Mar–Mer–Jeu–Ven–Sam,6,True,False,True,0.3019366666666656,10.558060000000005,Oti 2,Oti,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-41bf,COOPEC SIFA Mango,MANGO,Savanes,Oti,Oti 1,Mango,Micro-finance,Micro-Finance,Utilisé,En activité,Lun–Mar–Mer–Jeu–Ven–Sam,6,True,False,True,0.4693016666666665,10.348063333333334,Oti 1,Oti,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-41be,UTB Mango,MANGO,Savanes,Oti,Oti 1,Mango,Banque,Banque,Utilisé,En activité,Lun–Mar–Mer–Jeu–Ven–Sam–Dim,7,True,True,True,0.4693666666666666,10.352395000000001,Oti 1,Oti,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-41bd,COOPEC SIFA Barkoissi,BARKOISSI,Savanes,Oti,Oti 2,Barkoissi,Micro-finance,Micro-Finance,Utilisé,En activité,Lun–Mar–Mer–Jeu–Ven,5,False,False,True,0.3054883333333328,10.557075000000003,Oti 2,Oti,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-41bc,U-CMECS Lantodim,BARKOISSI,Savanes,Oti,Oti 2,Barkoissi,Micro-finance,Micro-Finance,Utilisé,En activité,Lun–Mar–Mer–Jeu–Ven,5,False,False,True,0.3032583333333335,10.55560333333333,Oti 2,Oti,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-41bb,U-CMECS (union des Caisses Mutuelles D'epargne et de Crédit des Savanes),TAMBONGA,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 2,Papri,Micro-finance,Micro-Finance,Utilisé,En activité,Lun–Mar–Mer–Jeu–Ven,5,False,False,True,0.4357950202027965,10.953968223424951,Kpendjal-Ouest 2,Kpendjal-Ouest,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-41ba,Banque Atlantique Quartier Samango,Quartier samango,Savanes,Cinkassé,Cinkassé 1,Cinkassé,Banque,Banque,Utilisé,En activité,Lun–Mar–Mer–Jeu–Sam–Dim,6,True,True,True,0.016539589999999,11.102568520000004,Cinkassé 1,Cinkassé,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-41b9,ECOBANK Cinkanssé,Quartier samango,Savanes,Cinkassé,Cinkassé 1,Cinkassé,Banque,Banque,Néant,Statut non renseigné ou ambigu,Lun–Mar–Mer–Jeu–Ven–Sam,6,True,False,True,0.0162530099999996,11.10216061,Cinkassé 1,Cinkassé,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-41b8,CORIS Bank Cinkanssé,Cinkanssé,Savanes,Cinkassé,Cinkassé 1,Cinkassé,Banque,Banque,Utilisé,En activité,Lun–Mar–Mer–Jeu–Ven–Sam–Dim,7,True,True,True,0.0227043699999995,11.097053140000002,Cinkassé 1,Cinkassé,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-41b7,BOA Cinkanssé,Cinkanssé,Savanes,Cinkassé,Cinkassé 1,Cinkassé,Banque,Banque,Utilisé,En activité,Lun–Mar–Mer–Jeu–Ven–Sam,6,True,False,True,0.025987670000001,11.096349140000003,Cinkassé 1,Cinkassé,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-41b6,V.I.Z.A- Togo Natinga,Quartier natinga,Savanes,Cinkassé,Cinkassé 2,Timbou,Micro-finance,Micro-Finance,Utilisé,En activité,Lun–Mar–Mer–Jeu–Ven–Sam,6,True,False,True,0.1164212700000001,11.03596488,Cinkassé 2,Cinkassé,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-41b5,SPT Bombouaka,BOMBOUAKA,Savanes,Tandjoaré,Tandjoaré 1,Bombouaka,Banque,Banque,Utilisé,En activité,Lun–Mar–Mer–Jeu–Ven–Sam,6,True,False,True,0.2076119019961916,10.699540591129125,Tandjoaré 1,Tandjoaré,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-41b4,UMECTO Bombouaka,BOMBOUAKA,Savanes,Tandjoaré,Tandjoaré 1,Bombouaka,Micro-finance,Micro-Finance,Néant,Statut non renseigné ou ambigu,Lun–Mar–Mer–Jeu–Ven,5,False,False,True,0.2081018484449186,10.700130500325534,Tandjoaré 1,Tandjoaré,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-41b3,U-CMECS Tamou,TAMOU,Savanes,Tandjoaré,Tandjoaré 1,Tamongue,Micro-finance,Micro-Finance,Néant,Statut non renseigné ou ambigu,Lun–Mar–Mer–Jeu–Ven–Sam,6,True,False,True,0.1747299999999998,10.596316666666667,Tandjoaré 1,Tandjoaré,Concordant
