indicateur_source,unite_source,annee,valeur,fichier,famille,libelle,groupe,operateur_source,technologie,unite,statut_qualite
LS Internet,Nombre,2013,93.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,Liaisons spécialisées Internet,Non précisé,Non précisé,LS Internet,liaisons,ok
LS Internet,Nombre,2014,104.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,Liaisons spécialisées Internet,Non précisé,Non précisé,LS Internet,liaisons,ok
LS Internet,Nombre,2015,100.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,Liaisons spécialisées Internet,Non précisé,Non précisé,LS Internet,liaisons,ok
LS Internet,Nombre,2016,116.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,Liaisons spécialisées Internet,Non précisé,Non précisé,LS Internet,liaisons,ok
LS Internet,Nombre,2017,133.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,Liaisons spécialisées Internet,Non précisé,Non précisé,LS Internet,liaisons,ok
LS Internet,Nombre,2018,148.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,Liaisons spécialisées Internet,Non précisé,Non précisé,LS Internet,liaisons,ok
LS Internet,Nombre,2019,183.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,Liaisons spécialisées Internet,Non précisé,Non précisé,LS Internet,liaisons,ok
Illiconet,Nombre,2013,36449.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,Illiconet,Non précisé,Non précisé,Illiconet,abonnés,ok
Illiconet,Nombre,2014,36937.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,Illiconet,Non précisé,Non précisé,Illiconet,abonnés,ok
Wimax,Nombre,2013,414.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,WiMAX,Non précisé,Non précisé,WiMAX,abonnés,ok
Wimax,Nombre,2014,494.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,WiMAX,Non précisé,Non précisé,WiMAX,abonnés,ok
Wimax,Nombre,2015,409.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,WiMAX,Non précisé,Non précisé,WiMAX,abonnés,ok
Wimax,Nombre,2016,462.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,WiMAX,Non précisé,Non précisé,WiMAX,abonnés,ok
Wimax,Nombre,2017,1068.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,WiMAX,Non précisé,Non précisé,WiMAX,abonnés,ok
Wimax,Nombre,2018,2167.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,WiMAX,Non précisé,Non précisé,WiMAX,abonnés,ok
Wimax,Nombre,2019,1806.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,WiMAX,Non précisé,Non précisé,WiMAX,abonnés,ok
ADSL,Nombre,2013,6822.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,ADSL,Non précisé,Non précisé,ADSL,abonnés,ok
ADSL,Nombre,2014,9626.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,ADSL,Non précisé,Non précisé,ADSL,abonnés,ok
ADSL,Nombre,2015,10185.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,ADSL,Non précisé,Non précisé,ADSL,abonnés,ok
ADSL,Nombre,2016,8299.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,ADSL,Non précisé,Non précisé,ADSL,abonnés,ok
ADSL,Nombre,2017,10536.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,ADSL,Non précisé,Non précisé,ADSL,abonnés,ok
ADSL,Nombre,2018,14957.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,ADSL,Non précisé,Non précisé,ADSL,abonnés,ok
ADSL,Nombre,2019,14589.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,ADSL,Non précisé,Non précisé,ADSL,abonnés,ok
EvDo,Nombre,2013,21765.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,EV-DO,Non précisé,Non précisé,EV-DO,abonnés,ok
EvDo,Nombre,2014,32460.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,EV-DO,Non précisé,Non précisé,EV-DO,abonnés,ok
EvDo,Nombre,2015,52414.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,EV-DO,Non précisé,Non précisé,EV-DO,abonnés,ok
EvDo,Nombre,2016,35736.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,EV-DO,Non précisé,Non précisé,EV-DO,abonnés,ok
EvDo,Nombre,2017,33928.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,EV-DO,Non précisé,Non précisé,EV-DO,abonnés,ok
FTTH,Nombre,2013,0.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,Fibre optique (FTTH),Non précisé,Non précisé,Fibre (FTTH),abonnés,ok
